2020-12-15T21:28:48Z,Centimia,IT47 L073 7649 763Q HAW7 TIZC XYO,$-42.75
2021-03-03T09:41:58Z,Brightbean,VG80 BPPG 5838 1528 4840 0149,$17.85
2020-08-09T02:35:51Z,Gigaclub,FR62 6144 4309 66VP KKJ3 9N4I Q88,$53.32
2020-11-16T15:44:54Z,Zoomzone,PS53 FYHZ TUQJ SURU 9LQA MV0N A4HO 0,$79.04
2021-04-26T13:56:37Z,Riffwire,BA70 3954 9038 1212 2567,$-76.49
2020-03-25T08:52:45Z,Zoovu,FR09 1127 7994 66BW VZ7E 1GT3 I31,$-81.58
2020-12-16T07:52:09Z,Agimba,SA97 317U TO2Q QKVP FKJC FHMO,$69.01
2020-09-03T19:55:58Z,Podcat,FR69 7353 8762 907D M1TR SWZY C45,$-54.87
2019-11-14T21:42:00Z,Jabbersphere,BH88 CVYM 6MBF JPGR YX8C TP,$-73.01
2020-10-20T09:57:34Z,Realpoint,KZ85 201M GEUM Q6TJ JEAY,$9.50
2020-09-07T14:38:58Z,Shufflebeat,FR31 2816 9394 225O VKGY PMAZ V03,$36.68
2020-10-08T15:01:05Z,Ooba,LI66 4344 3HZJ 0HT8 S3RC U,$-81.47
2020-06-04T23:31:00Z,Gigabox,NL03 CPIW 3699 7579 71,$27.96
2020-11-30T21:33:43Z,Yodel,FR26 3088 6471 88HU Q1GM ZEO2 W87,$-61.75
2020-01-06T16:52:04Z,Skimia,BR17 5732 4177 6379 7007 9996 047A R,$-55.92
2021-06-30T20:30:47Z,Minyx,AE34 4507 3309 7935 5948 411,$-8.76
2020-05-27T17:39:31Z,Browsecat,GI60 QBQW QBV9 4I1G HQI9 EWV,$53.98
2020-06-18T05:24:18Z,Trilia,KW55 MVYB EFNB FCUH LHQS 0FQQ I1SK 3R,$60.08
2020-07-31T15:26:18Z,Jetwire,BA34 1143 4432 2005 7739,$67.87
2021-02-21T12:33:34Z,Oloo,LT67 8185 4153 0380 1866,$65.77
2021-05-29T20:35:57Z,Dynabox,IE34 ATJK 5581 4994 2241 15,$56.80
2021-08-08T00:02:27Z,Jabberstorm,CY30 4788 6909 LJNZ XPYW MAVA 1W8K,$32.79
2019-11-04T09:17:05Z,Teklist,CZ91 0319 1476 3143 8524 6169,$-60.75
2020-06-04T09:22:05Z,Latz,FO78 2316 7991 3530 86,$-94.25
2020-07-02T21:59:30Z,Twitterwire,GT53 IBUK ZK2G CDJF SXVW C6HJ WQIQ,$70.66
2020-06-04T01:14:54Z,Shuffledrive,BR52 2495 6987 6062 9086 5863 197F E,$-96.80
2021-08-12T09:33:10Z,Wikibox,NL34 RVKB 8573 6818 53,$-9.96
2020-06-13T17:02:56Z,Realbridge,FR35 9231 3853 61C1 3F33 3PLW W44,$-47.12
2020-04-10T11:12:48Z,Kaymbo,AE65 2457 5041 1795 5603 549,$65.58
2021-04-24T06:22:31Z,Plajo,AZ24 WUXT 79T6 DHWW ZJTP BTVF X1PH,$94.17
2020-10-29T07:20:32Z,Podcat,SM13 F615 9263 304T XQ75 NEVL CX8,$77.88
2019-11-09T13:42:01Z,Jatri,GL45 2144 8816 7528 59,$8.28
2020-02-04T10:13:53Z,Centidel,GL25 3496 4908 9863 90,$-36.85
2020-02-15T06:22:59Z,Shufflebeat,CH59 6943 35QP H8ZB VEDF X,$-22.67
2020-09-01T08:56:31Z,LiveZ,CH56 1338 51XU ZAXH HOT5 W,$85.77
2019-11-14T13:27:00Z,Topdrive,LV31 RHWE G1LJ ZSR2 OATL I,$8.88
2021-07-26T23:39:41Z,Skiptube,AZ81 GBCL K0EE VXI6 AWJ1 SIY4 Q6IF,$-59.87
2020-11-24T09:31:28Z,Dablist,SA93 79V4 DSET NHRX RJWZ 5TRM,$83.82
2021-06-04T20:44:07Z,Wikido,GE77 SP60 2868 8682 8655 80,$27.90
2019-11-04T13:07:12Z,Camido,FR10 0579 6306 4964 SBSF RCWY D66,$46.21
2021-03-22T00:24:06Z,Jabbersphere,TR15 8002 6BLH W4Q9 XIZS 3BDO B9,$-16.03
2020-09-13T23:30:16Z,Cogidoo,PK50 IRSK LSGI X1DI D5BD 5WTB,$-10.55
2021-02-22T00:46:42Z,Mybuzz,LV48 KFJV VTEA LAEU 4VQC 2,$15.87
2020-07-31T05:29:31Z,Kimia,CH03 1510 9IRY 723W Q7HE Q,$54.98
2020-03-26T04:05:56Z,Dynava,GL80 7193 0291 4283 86,$80.69
2021-02-26T04:15:00Z,Flashdog,FR25 4506 4727 18O9 UJAO OSYG 670,$80.70
2020-01-05T18:34:26Z,Dabjam,HU43 9490 4855 3235 2835 0963 1815,$54.93
2021-05-02T19:11:57Z,Flipbug,SA32 10WB QFAJ JJHX BKDU HSNB,$-5.95
2021-06-13T17:46:27Z,Eimbee,NO29 9853 1829 726,$-78.41
2020-09-09T11:52:43Z,Lazz,PS81 TTXM 96IS LAVT VGXG YGRA IT3R C,$7.31
2020-05-28T20:15:31Z,Skippad,BH94 WGTJ 20N8 9GTW S3AL W9,$93.26
2020-09-23T15:46:59Z,Kamba,IT45 K230 3819 395G MQJG RIYL CWJ,$87.51
2020-10-07T13:23:11Z,Divape,DO54 8OA2 1248 7106 3229 1384 0412,$-78.22
